customer_Id,age,gender,dependent_count,education_level,marital_status,estimated_income,months_on_book,total_relationship_count,months_inactive_12_mon,credit_limit,total_trans_amount,total_trans_count,avg_utilization_ratio
CUST0001,49,Female,2,Graduate,Single,15790.662648605226,51,1,4,13401.149362500448,6826.7877461036205,33,0.3419787573286723
CUST0002,43,Male,3,Post-Graduate,Married,19331.642226088552,19,6,4,14401.642710883652,7895.2018353603235,38,0.3270761682576697
CUST0003,51,Female,4,Post-Graduate,Divorced,30386.846130058806,35,3,2,6174.702810933328,15766.486989110523,76,0.20292557495039132
CUST0004,60,Male,1,High School,Married,33722.85567973643,19,1,3,5601.301244555542,15299.65469862616,35,0.27292156470562307
CUST0005,42,Male,2,Graduate,Single,42791.6956551074,12,3,3,17454.52517307261,16066.56289464557,65,0.1572268121433611
CUST0006,42,Female,3,Post-Graduate,Married,17695.01361828225,28,5,1,23722.10676568844,19098.52943148208,75,0.1448734913217218
CUST0007,60,Male,3,High School,Single,55563.63177208524,40,3,3,1477.7160802514995,16013.371218698292,40,0.05355626145699676
CUST0008,52,Female,0,Post-Graduate,Married,105854.51032839746,28,1,2,17027.844304045524,8448.359962748873,65,0.06146386154914374
CUST0009,40,Female,0,High School,Married,20406.476772951395,39,4,5,6967.676046456784,16519.41607951279,44,0.28548004913333064
CUST0010,50,Male,1,Post-Graduate,Married,145209.8951581142,37,1,3,7892.994312037665,10419.155325753798,77,0.15011499553850619
CUST0011,40,Male,0,Post-Graduate,Single,115260.98528764314,34,1,5,444.23717268358246,5915.423634112023,35,0.21310338175067456
CUST0012,40,Female,1,Post-Graduate,Divorced,33641.026760524226,48,5,5,8428.295269139344,6406.8828285547415,46,0.2958950144672684
CUST0013,47,Female,4,Graduate,Married,29676.713409981687,30,2,2,5239.083553516436,4864.926576986268,61,0.11478729479403511
CUST0014,25,Male,1,High School,Single,19091.300801219928,39,1,4,724.758282138868,3327.3626774851914,70,0.5388735042476624
CUST0015,27,Male,0,Post-Graduate,Married,61375.09367306288,17,5,4,18624.361196754922,4097.563031146181,61,0.1871711293816978
CUST0016,39,Male,4,High School,Married,35399.920972848064,36,4,4,9668.159143564928,1731.9719740994776,67,0.16564270698343314
CUST0017,34,Male,0,High School,Married,38284.9922180915,33,5,0,10760.315027271048,17824.791866181535,51,0.08800623237817382
CUST0018,48,Female,1,Graduate,Married,16099.429282181296,24,5,4,18519.97599689353,18654.652288157904,43,0.5397808648939341
CUST0019,35,Female,2,Post-Graduate,Married,62584.30027565315,39,3,2,13572.95721942454,11942.022653630962,81,0.2972410711403488
CUST0020,30,Female,3,Post-Graduate,Single,27836.346515039073,28,2,1,2482.140103781842,16889.54635386936,67,0.056085723452247195
CUST0021,59,Female,0,High School,Married,12843.806680730922,53,2,3,15768.253786978463,4079.636501736369,52,0.24665895774167754
CUST0022,42,Male,1,Post-Graduate,Married,31627.412671065365,11,6,4,1875.6773032028382,18082.63959192621,35,0.1643293859287698
CUST0023,45,Male,4,Graduate,Single,17060.61677248175,38,4,0,12847.952102832902,10374.050412794912,78,0.38233474830308184
CUST0024,30,Female,0,High School,Married,82604.48394350435,36,6,5,27055.714680888606,1809.717355808324,78,0.0007225889464269
CUST0025,39,Female,0,High School,Divorced,114276.82273003687,33,5,0,12927.397769720714,3255.598517636124,56,0.18876078111565664
CUST0026,46,Female,3,High School,Divorced,32332.819521048554,30,4,2,6382.798353008979,6525.040985342935,50,0.1077249513411438
CUST0027,33,Female,1,High School,Single,69516.0166247563,36,4,1,26442.81057295891,1349.372816917653,56,0.22479508114733213
CUST0028,48,Female,2,Doctorate,Single,68344.8744125383,46,2,4,9636.510402489243,6531.220871340151,56,0.3598251019433947
CUST0029,38,Female,4,Graduate,Married,444.9506006768836,19,2,4,3645.35066848064,1668.6434458183899,71,0.40268534663030003
CUST0030,42,Female,1,Graduate,Single,19357.80180251969,27,2,0,4902.500571798063,5102.5383012600905,42,0.34786890929026365
CUST0031,38,Female,4,Doctorate,Divorced,36590.30461340026,25,1,2,4765.922937534783,5680.560239200611,51,0.14426160612648925
CUST0032,63,Female,0,High School,Single,23643.750243416383,25,5,0,30549.42150166958,19890.19503915248,57,0.11906138519134415
